time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
1/1/15 0:00,1-Jan,39932,871,12730,2.2,6.8,,
1/1/15 1:00,1-Jan,39134,724,12730,1.8,5.7,-147,-16.9
1/1/15 2:00,1-Jan,38560,596,12730,1.5,4.7,-127,-17.6
1/1/15 3:00,1-Jan,38334,486,12730,1.3,3.8,-110,-18.5
1/1/15 4:00,1-Jan,38392,651,12730,1.7,5.1,165,33.8
1/1/15 5:00,1-Jan,38877,745,12730,1.9,5.9,94,14.5
1/1/15 6:00,1-Jan,39837,788,12730,2,6.2,43,5.8
1/1/15 7:00,1-Jan,40520,758,12730,1.9,6,-30,-3.8
1/1/15 8:00,1-Jan,41008,668,12730,1.6,5.2,-90,-11.8
1/1/15 9:00,1-Jan,42052,496,12730,1.2,3.9,-172,-25.8
1/1/15 10:00,1-Jan,43449,450,12730,1,3.5,-45,-9.2
1/1/15 11:00,1-Jan,44249,439,12730,1,3.4,-11,-2.5
1/1/15 12:00,1-Jan,44584,497,12730,1.1,3.9,58,13.2
1/1/15 13:00,1-Jan,44265,419,12730,0.9,3.3,-78,-15.7
1/1/15 14:00,1-Jan,43731,378,12730,0.9,3,-41,-9.7
1/1/15 15:00,1-Jan,43198,456,12730,1.1,3.6,77,20.5
1/1/15 16:00,1-Jan,43181,422,12730,1,3.3,-33,-7.3
1/1/15 17:00,1-Jan,43768,349,12730,0.8,2.7,-73,-17.3
1/1/15 18:00,1-Jan,45894,255,12730,0.6,2,-94,-27
1/1/15 19:00,1-Jan,45488,211,12730,0.5,1.7,-44,-17.2
1/1/15 20:00,1-Jan,44758,158,12730,0.4,1.2,-52,-24.9
1/1/15 21:00,1-Jan,43818,119,12730,0.3,0.9,-40,-25.1
1/1/15 22:00,1-Jan,42264,74,12730,0.2,0.6,-45,-37.8
1/1/15 23:00,1-Jan,40184,54,12730,0.1,0.4,-20,-27.1
1/2/15 0:00,2-Jan,38285,78,12730,0.2,0.6,24,44.6
1/2/15 1:00,2-Jan,36879,174,12730,0.5,1.4,96,123.9
1/2/15 2:00,2-Jan,36057,247,12730,0.7,1.9,73,41.9
1/2/15 3:00,2-Jan,35828,370,12730,1,2.9,123,49.7
1/2/15 4:00,2-Jan,36090,335,12730,0.9,2.6,-34,-9.3
1/2/15 5:00,2-Jan,37077,327,12730,0.9,2.6,-9,-2.5
1/2/15 6:00,2-Jan,39025,176,12730,0.5,1.4,-151,-46.2
1/2/15 7:00,2-Jan,41009,228,12730,0.6,1.8,52,29.4
1/2/15 8:00,2-Jan,41960,289,12730,0.7,2.3,61,26.9
1/2/15 9:00,2-Jan,42838,127,12730,0.3,1,-162,-56.2
1/2/15 10:00,2-Jan,43693,70,12730,0.2,0.6,-56,-44.6
1/2/15 11:00,2-Jan,44034,77,12730,0.2,0.6,7,9.5
1/2/15 12:00,2-Jan,43768,129,12730,0.3,1,52,68
1/2/15 13:00,2-Jan,43466,115,12730,0.3,0.9,-14,-10.8
1/2/15 14:00,2-Jan,43005,81,12730,0.2,0.6,-34,-29.5
1/2/15 15:00,2-Jan,42549,80,12730,0.2,0.6,-1,-1.7
1/2/15 16:00,2-Jan,42363,94,12730,0.2,0.7,14,17.6
1/2/15 17:00,2-Jan,42814,69,12730,0.2,0.5,-24,-26.1
1/2/15 18:00,2-Jan,44620,154,12730,0.3,1.2,85,122.7
1/2/15 19:00,2-Jan,44034,292,12730,0.7,2.3,138,89.4
1/2/15 20:00,2-Jan,43209,212,12730,0.5,1.7,-80,-27.4
1/2/15 21:00,2-Jan,42138,342,12730,0.8,2.7,130,61.1
1/2/15 22:00,2-Jan,40699,513,12730,1.3,4,171,50
1/2/15 23:00,2-Jan,38684,631,12730,1.6,5,118,23.1
1/3/15 0:00,3-Jan,36639,805,12730,2.2,6.3,174,27.5
1/3/15 1:00,3-Jan,35172,778,12730,2.2,6.1,-27,-3.3
